env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E0112;18.32;21.05;14.10;894.00;219.00;1.00;111.19;596.00;6.00;312.00;6.00;13.26;57.90;300.31;28.40;5.50;22.90;20.78;14.10
E0113;18.14;20.72;14.10;859.00;205.00;1.00;108.62;563.00;7.00;312.00;7.00;13.05;58.78;284.13;27.90;5.70;22.20;20.35;14.10
E0114;18.32;20.95;14.32;818.00;190.00;1.00;107.55;533.00;6.00;300.00;6.00;13.54;58.62;284.15;28.60;5.50;23.10;20.48;14.32
E0115;18.30;21.03;14.27;815.00;195.00;1.00;108.05;532.00;4.00;304.00;4.00;13.32;57.15;289.66;29.00;5.70;23.30;20.35;14.27
E0116;18.67;21.38;14.53;771.00;169.00;5.00;97.97;475.00;17.00;475.00;17.00;12.78;59.42;297.48;28.20;6.70;21.50;21.38;14.53
E0117;26.12;28.30;24.33;1081.00;216.00;0.00;95.01;617.00;4.00;96.00;617.00;12.25;64.14;158.25;35.90;16.80;19.10;24.33;26.23
E0118;27.19;29.95;25.32;1035.00;253.00;1.00;108.67;674.00;7.00;160.00;674.00;12.32;61.89;191.63;37.40;17.50;19.90;25.32;26.13
E0119;27.21;29.20;25.22;1044.00;167.00;5.00;74.51;486.00;19.00;172.00;486.00;10.88;68.83;155.23;36.40;20.60;15.80;25.22;27.62
E0120;27.11;28.82;25.25;1014.00;144.00;7.00;64.46;410.00;34.00;216.00;386.00;9.87;70.48;142.06;35.40;21.40;14.00;26.30;27.67
E0121;27.18;29.03;25.27;1034.00;167.00;7.00;73.66;471.00;21.00;177.00;471.00;10.58;70.03;147.66;36.00;20.90;15.10;25.27;27.60
E0122;27.93;31.33;26.12;949.00;243.00;0.00;108.95;606.00;0.00;147.00;606.00;12.60;58.07;226.09;39.20;17.50;21.70;26.12;26.62
E0123;19.43;20.58;18.70;1679.00;230.00;35.00;52.92;678.00;136.00;458.00;652.00;15.01;76.97;81.89;29.00;9.50;19.50;18.87;19.33
E0124;16.98;18.98;15.03;822.00;239.00;15.00;108.12;507.00;51.00;300.00;51.00;14.48;71.66;163.98;27.30;7.10;20.20;18.42;15.03
E0125;19.70;21.23;18.27;1732.00;283.00;24.00;74.19;825.00;77.00;177.00;811.00;14.09;79.61;120.35;29.50;11.80;17.70;18.30;20.62
E0126;19.58;21.27;18.35;1297.00;270.00;13.00;84.85;713.00;53.00;270.00;677.00;14.43;73.64;123.55;29.80;10.20;19.60;18.58;19.80
E0127;23.54;25.90;22.28;1534.00;400.00;2.00;115.03;1013.00;7.00;169.00;1010.00;15.30;68.00;154.86;35.20;12.70;22.50;22.72;22.93
E0128;22.93;25.20;21.42;1270.00;255.00;1.00;97.27;724.00;6.00;67.00;724.00;11.92;65.48;161.06;33.10;14.90;18.20;21.42;23.62
E0129;26.36;27.87;25.08;1245.00;183.00;5.00;63.13;489.00;51.00;259.00;414.00;9.87;69.98;109.21;34.10;20.00;14.10;25.93;26.78
E0130;26.41;28.02;25.03;1208.00;180.00;6.00;62.75;477.00;53.00;254.00;393.00;9.32;67.51;117.34;34.00;20.20;13.80;26.02;26.83
E0131;28.11;30.73;26.12;1106.00;219.00;2.00;84.03;573.00;15.00;139.00;573.00;11.58;60.97;183.97;38.00;19.00;19.00;26.12;28.18
E0132;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0133;20.51;21.33;19.65;1708.00;255.00;54.00;43.08;659.00;202.00;268.00;451.00;12.44;82.94;68.03;28.50;13.50;15.00;20.45;21.05
E0134;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0135;21.56;22.52;20.33;959.00;254.00;6.00;99.48;481.00;31.00;376.00;33.00;11.43;75.16;100.43;29.60;14.40;15.20;22.52;20.62
E0136;26.81;30.37;24.52;927.00;248.00;0.00;117.49;641.00;0.00;108.00;1.00;13.41;57.55;239.75;38.00;14.70;23.30;25.42;25.00
